x,y,z,sx,sy,sz
1419913.14,9410877.01,-126.09,2.0867,1.7524,1.1678
1420059.22,9410981.32,-136.08,0.8386,0.8640,1.2129
1420063.31,9410980.65,-135.59,0.8415,0.8655,1.2155
1420066.72,9410972.22,-135.78,0.8363,0.8542,1.2096
1420053.43,9410985.47,-136.30,0.8329,0.8609,1.2071
1420051.92,9411000.95,-136.38,0.8484,0.8826,1.2220
1420052.91,9410982.02,-136.24,0.8314,0.8580,1.2060
1420020.81,9410962.91,-136.98,0.7812,0.8101,1.1615
1419928.32,9410883.85,-129.08,3.2524,2.8490,1.4487
1420000.78,9410921.28,-137.02,0.7266,0.7463,1.1131
1420060.64,9410986.74,-136.11,0.8417,0.8675,1.2144
1420063.13,9410963.41,-135.66,0.8257,0.8436,1.2008
1420052.10,9410983.14,-136.45,0.8329,0.8601,1.2075
1420028.85,9410964.12,-136.76,0.7866,0.8144,1.1673
1419891.76,9410798.73,-122.19,0.6255,0.6402,0.9772
1420055.47,9410999.66,-136.38,0.8482,0.8819,1.2212
1419986.46,9410918.08,-137.35,0.7142,0.7357,1.1008
1419917.77,9410899.80,-129.99,2.1360,1.6094,1.2191
1419957.45,9410894.60,-136.40,0.6753,0.6945,1.0648
1420050.40,9410984.77,-136.35,0.8281,0.8570,1.2029
1420049.34,9411009.77,-136.56,0.8530,0.8926,1.2266
1420054.99,9410988.47,-136.30,0.8382,0.8670,1.2120
1420050.99,9410990.40,-136.41,0.8374,0.8680,1.2117
1419958.07,9410925.17,-137.83,0.7013,0.7283,1.0881
1420066.64,9410967.12,-135.73,0.8339,0.8542,1.2089
1419983.57,9410929.92,-137.83,0.8006,0.8060,1.1247
1420065.80,9410969.48,-135.56,0.8333,0.8518,1.2073
1419989.16,9410905.78,-136.43,0.7306,0.7548,1.0996
1419882.17,9410745.21,-121.17,4.1961,5.4955,1.3151
1419925.03,9410864.63,-125.92,2.2591,2.1679,1.2114
1420055.86,9410995.98,-136.32,0.8451,0.8770,1.2183
1420053.58,9410977.43,-136.24,0.8256,0.8499,1.2001
1420047.70,9410974.21,-136.17,0.8157,0.8408,1.1917
1420049.56,9410975.50,-136.31,0.8191,0.8440,1.1947
1420030.13,9410946.94,-136.48,0.7772,0.7981,1.1572
1420066.19,9410963.00,-135.65,0.8270,0.8396,1.1999
1419921.51,9410908.63,-133.11,2.4542,1.7832,1.3098
1420060.60,9410983.95,-136.09,0.8422,0.8680,1.2165
1420068.21,9410965.00,-135.67,0.8316,0.8455,1.2043
1420062.32,9410963.62,-135.76,0.8231,0.8378,1.1971
1420056.83,9410990.54,-136.29,0.8434,0.8723,1.2171
1419989.16,9410916.60,-134.57,1.4524,1.5053,1.2903
1419652.44,9410666.72,-131.91,2.9575,2.3797,1.0700
1419967.25,9410843.22,-128.78,2.0394,2.7754,1.3303
1419965.00,9410864.44,-127.21,2.4957,3.0654,1.4088
1419964.14,9410903.65,-137.96,0.7171,0.7321,1.0801
1420066.05,9410965.77,-135.77,0.8293,0.8433,1.2021
1419965.12,9410903.26,-137.62,1.0062,0.9795,1.1311
1420050.66,9411003.15,-136.58,0.8490,0.8845,1.2231
1420048.70,9411006.79,-136.68,0.8476,0.8874,1.2216
1419965.10,9410938.98,-137.13,1.0888,0.9076,1.1724
1420063.25,9410965.42,-135.64,0.8254,0.8400,1.1987
1420050.84,9411006.08,-136.51,0.8509,0.8882,1.2248
1420034.78,9410934.85,-132.04,0.7717,0.7910,1.1511
1419950.85,9410896.04,-136.69,0.7119,0.7225,1.0667
1419987.84,9410876.86,-133.95,1.1777,1.4855,1.1830
1419910.79,9410884.46,-133.63,0.7417,0.7208,1.0400
1419991.70,9410957.33,-136.46,0.7716,0.7933,1.1397
1419985.32,9410923.37,-134.61,0.7663,0.7759,1.1144
1419780.26,9410763.32,-121.61,8.7517,7.3420,1.6305
1419893.38,9410797.57,-121.35,3.8048,4.2535,1.3163
1419875.50,9410751.04,-118.30,5.0190,6.2535,1.3736
1419983.08,9410969.67,-137.71,0.7524,0.7959,1.1394
1419998.06,9410967.96,-137.65,0.7595,0.8006,1.1470
1420058.38,9410993.08,-136.27,0.8448,0.8744,1.2177
1419945.11,9410854.77,-129.19,0.9657,1.0566,1.0636
1420000.31,9410958.05,-137.51,0.7569,0.7902,1.1413
1419943.75,9410882.40,-132.59,1.5006,1.4259,1.1656
1420053.06,9410995.88,-136.41,0.8417,0.8748,1.2154
1419980.99,9410851.77,-130.97,1.8131,2.6223,1.3446
1419936.29,9410852.13,-125.69,3.1429,3.3933,1.4175
1419960.90,9410925.01,-137.14,1.2005,1.0295,1.1770
1419923.11,9410913.82,-131.21,3.0102,2.0835,1.4265
1419926.03,9410879.88,-128.81,1.3368,1.1888,1.1027
1419965.13,9410915.33,-138.19,0.7241,0.7382,1.0892
1420105.91,9410976.65,-134.69,0.8872,0.8882,1.2508
1420032.08,9410944.61,-136.07,0.7732,0.7912,1.1547
1420028.86,9410942.09,-133.04,0.8133,0.8490,1.1744
1419904.27,9410882.22,-119.10,4.8472,3.7062,1.5295
1419978.15,9410881.33,-129.83,2.5327,3.0957,1.5686
1420096.50,9410982.64,-135.17,0.8811,0.9007,1.2559
1420093.84,9410977.98,-135.03,0.8734,0.8854,1.2429
1420071.19,9410944.50,-135.26,0.8177,0.8209,1.1911
1419913.88,9410889.81,-128.58,1.5487,1.2363,1.1172
1420085.09,9410965.05,-135.19,0.8517,0.8594,1.2215
1420066.79,9410943.89,-135.48,0.8119,0.8159,1.1859
1420065.13,9410970.88,-135.31,0.8330,0.8503,1.2060
1420090.48,9410967.90,-135.06,0.8611,0.8740,1.2326
1420083.56,9410974.52,-135.33,0.8626,0.9012,1.2473
1420095.16,9410975.14,-135.00,0.8724,0.8787,1.2390
1420084.14,9410975.81,-135.35,0.8601,0.8753,1.2311
1420068.28,9410992.72,-135.98,0.8558,0.8811,1.2266
1420066.87,9410977.70,-135.87,0.8416,0.8617,1.2138
1420091.31,9410970.50,-135.05,0.8642,0.8774,1.2355
1420069.63,9410949.49,-135.50,0.8197,0.8242,1.1925
1420067.93,9410997.44,-136.03,0.8622,0.8901,1.2345
1420074.11,9410996.91,-135.88,0.8669,0.8921,1.2372
1419970.83,9410958.64,-137.86,1.2143,0.9643,1.2114
1420070.06,9410974.33,-135.69,0.8414,0.8577,1.2129
1420064.22,9411000.09,-136.00,0.8582,0.8886,1.2296
1420059.90,9410989.55,-136.12,0.8439,0.8713,1.2167
1420085.63,9410963.27,-135.20,0.8509,0.8581,1.2211
1420082.63,9410958.95,-135.13,0.8436,0.8497,1.2142
1420095.90,9410959.70,-134.87,0.8606,0.8591,1.2274
1419987.03,9410920.59,-136.09,1.3483,1.3201,1.2604
1420083.17,9410939.45,-134.73,0.8288,0.8313,1.2021
1420064.21,9410940.95,-134.73,0.8133,0.8458,1.1926
1420083.83,9410971.06,-135.38,0.8573,0.8816,1.2338
1420065.29,9410997.61,-136.13,0.8570,0.8858,1.2282
1420066.63,9410994.92,-136.23,0.8575,0.8847,1.2294
1420048.20,9410970.63,-135.64,0.8183,0.8432,1.1930
1420068.61,9410942.90,-134.95,0.8138,0.8200,1.1883
1420068.08,9410999.63,-136.04,0.8620,0.8907,1.2326
1420086.99,9410984.97,-135.37,0.8707,0.8847,1.2383
1420088.76,9410971.56,-135.16,0.8614,0.8690,1.2294
1420039.64,9410985.50,-136.76,0.8182,0.8514,1.1948
1420091.98,9410945.43,-134.80,0.8442,0.8381,1.2128
1420090.24,9410983.57,-135.25,0.8746,0.8949,1.2488
1420089.32,9410978.52,-135.28,0.8709,0.9050,1.2548
1420053.62,9411006.21,-136.43,0.8552,0.8909,1.2280
1420080.99,9410968.83,-135.46,0.8502,0.8625,1.2215
1420038.14,9410935.08,-127.15,1.2573,1.6887,1.3957
1420058.35,9410855.19,-130.91,0.7621,1.0659,1.1542
1420054.50,9410882.82,-135.14,0.7534,0.7543,1.1357
1420101.75,9410980.21,-134.86,0.8854,0.9088,1.2639
1420097.09,9410970.73,-134.27,0.8714,0.8879,1.2450
1420090.34,9410950.75,-134.96,0.8463,0.8427,1.2147
1420076.75,9410964.82,-135.45,0.8415,0.8524,1.2128
1420089.52,9410941.54,-134.84,0.8381,0.8314,1.2075
1420092.75,9410982.57,-135.21,0.8760,0.8896,1.2453
1420068.39,9410984.88,-135.85,0.8491,0.8710,1.2204
1420075.31,9410947.11,-135.19,0.8247,0.8265,1.1967
1420082.76,9410975.37,-135.43,0.8616,0.8941,1.2427
1420098.53,9410979.54,-134.90,0.8803,0.8881,1.2468
1420074.45,9410970.56,-135.56,0.8436,0.8571,1.2148
1420091.37,9410951.63,-134.82,0.8483,0.8445,1.2164
1420079.38,9410948.62,-135.20,0.8309,0.8307,1.2016
1420057.10,9410821.56,-134.37,0.7236,0.7822,1.1128
1420083.48,9410947.91,-134.97,0.8355,0.8352,1.2061
1420069.07,9410992.26,-135.96,0.8568,0.8818,1.2278
1420064.91,9410986.82,-136.17,0.8468,0.8709,1.2186
1420076.23,9410972.28,-135.55,0.8472,0.8610,1.2181
1420087.79,9410948.56,-134.93,0.8413,0.8376,1.2103
1420076.98,9410971.16,-135.51,0.8468,0.8585,1.2169
1420088.10,9410958.80,-135.02,0.8505,0.8593,1.2223
1420088.77,9410957.84,-135.03,0.8501,0.8514,1.2188
1420099.77,9410966.74,-134.79,0.8713,0.8766,1.2395
1420092.19,9410977.85,-135.14,0.8731,0.9078,1.2583
1420102.06,9410978.39,-134.70,0.8837,0.8881,1.2486
1420020.93,9410859.70,-135.69,0.7040,0.7201,1.0923
1420100.84,9410968.33,-134.27,0.8737,0.8770,1.2408
1420086.19,9410945.60,-134.95,0.8370,0.8332,1.2066
1420020.20,9410884.17,-134.58,1.2459,1.9425,1.3236
1420078.60,9410952.10,-135.17,0.8334,0.8405,1.2060
1420101.37,9410975.71,-134.54,0.8807,0.8898,1.2497
1420032.16,9410944.26,-135.38,0.7726,0.7905,1.1541
1420092.37,9410986.84,-135.16,0.8789,0.8919,1.2459
1420093.96,9410985.13,-135.10,0.8797,0.8946,1.2495
1420092.09,9410970.56,-134.97,0.8651,0.8765,1.2355
1420053.20,9410813.84,-132.95,0.7540,1.3331,1.1468
1420062.85,9410999.65,-136.18,0.8574,0.8878,1.2294
1420098.44,9410973.21,-134.76,0.8749,0.8813,1.2424
1420089.36,9410942.93,-134.89,0.8390,0.8338,1.2086
1420078.78,9410942.83,-134.97,0.8259,0.8278,1.1989
1420064.38,9410944.69,-135.54,0.8099,0.8159,1.1846
1420064.29,9410832.06,-134.29,0.9012,2.6060,1.3413
1420033.38,9410863.02,-134.84,0.7661,0.9837,1.1328
1420014.60,9410839.85,-135.00,0.6800,0.6786,1.0745
1420002.31,9410841.73,-135.36,1.0233,1.6174,1.1743
1420081.06,9410965.55,-135.08,0.8468,0.8537,1.2161
1419991.83,9410849.87,-133.83,0.7050,0.7723,1.0679
1420080.10,9410954.92,-135.28,0.8373,0.8430,1.2090
1420034.19,9410863.35,-135.37,0.7196,0.7373,1.1078
1419910.99,9410883.55,-125.44,1.4801,1.2472,1.0903
1420072.39,9410954.92,-135.31,0.8283,0.8381,1.2018
1420070.24,9410944.08,-135.23,0.8161,0.8192,1.1897
1420063.28,9410950.34,-135.56,0.8129,0.8210,1.1873
1420052.92,9410959.23,-135.29,0.8141,0.8368,1.1890
1420073.56,9410908.81,-128.19,0.8063,1.0278,1.2045
1420046.91,9410978.80,-136.44,0.8191,0.8465,1.1949
1420052.73,9410888.33,-134.79,1.1588,2.5173,1.4949
1420061.75,9410943.00,-134.30,0.8055,0.8143,1.1818
1420068.90,9410991.38,-135.95,0.8558,0.8805,1.2269
1420072.80,9410950.91,-135.32,0.8246,0.8280,1.1965
1420075.41,9410879.07,-133.94,0.8440,1.7985,1.3076
1420078.20,9410965.52,-135.30,0.8439,0.8549,1.2152
1420091.76,9410966.36,-134.98,0.8610,0.8682,1.2302
1419868.51,9410664.74,-136.71,3.4690,5.4671,1.3702
1420078.56,9410976.27,-135.45,0.8533,0.8679,1.2235
1420074.88,9410958.02,-135.41,0.8331,0.8396,1.2044
1419971.44,9410778.96,-135.67,2.0368,3.8198,1.3976
1419938.78,9410845.58,-127.57,1.1623,1.1046,1.1273
1419913.41,9410884.33,-118.75,4.6827,3.7178,1.5057
1419920.77,9410924.07,-128.44,2.0199,1.3771,1.2057
1419899.74,9410649.98,-135.60,1.9104,3.6476,1.1555
1420096.07,9410978.19,-135.02,0.8760,0.8824,1.2417
1419984.32,9410900.54,-133.04,1.0349,1.1007,1.1529
1419955.70,9410718.56,-134.99,1.0203,1.9488,1.0686
1420047.03,9410858.35,-135.06,0.7353,0.7859,1.1198
1420087.46,9410986.40,-135.34,0.8726,0.8873,1.2405
1420076.19,9410949.16,-135.31,0.8276,0.8307,1.1997
1419857.02,9410752.84,-117.87,10.9511,12.4931,2.1760
1420094.90,9410959.76,-134.89,0.8594,0.8603,1.2271
1420012.35,9410729.95,-132.80,1.6683,5.2785,1.4836
1419965.76,9410797.00,-131.92,0.8658,1.3563,1.1125
1420072.77,9410976.26,-135.58,0.8472,0.8656,1.2196
1420063.75,9411001.84,-136.26,0.8596,0.8909,1.2310
1420092.25,9410954.75,-134.83,0.8531,0.8791,1.2305
1420085.13,9410979.19,-135.23,0.8642,0.8805,1.2353
1419941.17,9410853.59,-128.36,0.8644,0.8166,1.0708
1419823.25,9410817.85,-117.62,1.5485,1.2200,0.9979
1420037.60,9410868.91,-135.51,0.7347,0.7883,1.1179
1420076.53,9410954.31,-135.26,0.8328,0.8416,1.2056
