DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000227856, 0.000112771, -0.000185316, 0.000865012, 0.000141029, 0.00106747
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.000169772, -2.94175e-05, 0.000142745, -0.000752633, -9.96064e-05, -0.000835715
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00372612, 0.00222599, -0.00379646, 0.0195645, -0.00181138, -0.00732026
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.000981942, -0.000537283, 0.00201512, 0.00292227, 0.0155101, 0.0376118
0.00169391, -0.000985363, 0.00545773, 0.000803246, -0.000227856, 0.000169772, 0.00372612, -0.000981942, 1, 0.0262673, -0.000452836, 0.00458115, -0.00197019, -0.250333
0.00502479, -0.00131575, 0.00118664, 0.000655805, 0.000112771, -2.94175e-05, 0.00222599, -0.000537283, 0.0262673, 1, 0.000480956, 2.77293e-05, 0.00587663, 0.153819
0.00384881, 0.00211847, -0.00508218, 0.00073893, -0.000185316, 0.000142745, -0.00379646, 0.00201512, -0.000452836, 0.000480956, 1, 0.118787, 0.12325, -0.00199681
-0.00499575, 0.00322134, 0.0232802, -0.00101079, 0.000865012, -0.000752633, 0.0195645, 0.00292227, 0.00458115, 2.77293e-05, 0.118787, 1, -0.159876, -0.0231129
-0.00305107, 0.0150563, -0.00193369, -0.000909979, 0.000141029, -9.96064e-05, -0.00181138, 0.0155101, -0.00197019, 0.00587663, 0.12325, -0.159876, 1, 0.00643883
-0.0109721, 0.0383065, -0.00620493, -0.00228722, 0.00106747, -0.000835715, -0.00732026, 0.0376118, -0.250333, 0.153819, -0.00199681, -0.0231129, 0.00643883, 1
DJI_0251.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.00163737, 0.00602764, 0.00298179, -0.00505226, -0.00315475, -0.0107009
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.0017016, -0.00108514, 0.00178333, 0.0034268, 0.0151195, 0.0379109
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00641037, 0.001634, -0.00446312, 0.0232584, -0.00195766, -0.00648064
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00110535, 0.00104412, 0.000651006, -0.000985744, -0.000889762, -0.0021495
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000341251, -0.000129743, -0.000163202, 0.00087201, 0.000139417, 0.000906633
